Team,Wk 1,Wk 2,Wk 3,Wk 4,Wk 5,Wk 6,Wk 7,Wk 8,Wk 9,Wk 10,Wk 11,Wk 12,Wk 13,Wk 14,Wk 15,Wk 16,Wk 17,Wk 18
ARI,vs. KC,@ LV,vs. LAR,@ CAR,vs. PHI,@ SEA,vs. NO,@ MIN,vs. SEA,@ LAR,vs. SF,vs. LAC,BYE,vs. NE,@ DEN,vs. TB,@ ATL,@ SF
ATL,vs. NO,@ LAR,@ SEA,vs. CLE,@ TB,vs. SF,@ CIN,vs. CAR,vs. LAC,@ CAR,vs. CHI,@ WC,vs. PIT,BYE,@ NO,@ BAL,vs. ARI,vs. TB
BAL,@ NYJ,vs. MIA,@ NE,vs. BUF,vs. CIN,@ NYG,vs. CLE,@ TB,@ NO,BYE,vs. CAR,@ JAC,vs. DEN,@ PIT,@ CLE,vs. ATL,vs. PIT,@ CIN
BUF,@ LAR,vs. TEN,@ MIA,@ BAL,vs. PIT,@ KC,BYE,vs. GB,@ NYJ,vs. MIN,vs. CLE,@ DET,@ NE,vs. NYJ,vs. MIA,@ CHI,@ CIN,vs. NE
CAR,vs. CLE,@ NYG,vs. NO,vs. ARI,vs. SF,@ LAR,vs. TB,@ ATL,@ CIN,vs. ATL,@ BAL,vs. DEN,BYE,@ SEA,vs. PIT,vs. DET,@ TB,@ NO
CHI,vs. SF,@ GB,vs. HOU,@ NYG,@ MIN,vs. WC,@ NE,@ DAL,vs. MIA,vs. DET,@ ATL,@ NYJ,vs. GB,BYE,vs. PHI,vs. BUF,@ DET,vs. MIN
CIN,vs. PIT,@ DAL,@ NYJ,vs. MIA,@ BAL,@ NO,vs. ATL,@ CLE,vs. CAR,BYE,@ PIT,@ TEN,vs. KC,vs. CLE,@ TB,@ NE,vs. BUF,vs. BAL
CLE,@ CAR,vs. NYJ,vs. PIT,@ ATL,vs. LAC,vs. NE,@ BAL,vs. CIN,BYE,@ MIA,@ BUF,vs. TB,@ HOU,@ CIN,vs. BAL,vs. NO,@ WC,@ PIT
DAL,vs. TB,vs. CIN,@ NYG,vs. WC,@ LAR,@ PHI,vs. DET,vs. CHI,BYE,@ GB,@ MIN,vs. NYG,vs. IND,vs. HOU,@ JAC,vs. PHI,@ TEN,@ WC
DEN,@ SEA,vs. HOU,vs. SF,@ LV,vs. IND,@ LAC,vs. NYJ,@ JAC,BYE,@ TEN,vs. LV,@ CAR,@ BAL,vs. KC,vs. ARI,@ LAR,@ KC,vs. LAC
DET,vs. PHI,vs. WC,@ MIN,vs. SEA,@ NE,BYE,@ DAL,vs. MIA,vs. GB,@ CHI,@ NYG,vs. BUF,vs. JAC,vs. MIN,@ NYJ,@ CAR,vs. CHI,@ GB
GB,@ MIN,vs. CHI,@ TB,vs. NE,vs. NYG,vs. NYJ,@ WC,@ BUF,@ DET,vs. DAL,vs. TEN,@ PHI,@ CHI,BYE,vs. LAR,@ MIA,vs. MIN,vs. DET
HOU,vs. IND,@ DEN,@ CHI,vs. LAC,@ JAC,BYE,@ LV,vs. TEN,vs. PHI,@ NYG,vs. WC,@ MIA,vs. CLE,@ DAL,vs. KC,@ TEN,vs. JAC,@ IND
IND,@ HOU,@ JAC,vs. KC,vs. TEN,@ DEN,vs. JAC,@ TEN,vs. WC,@ NE,@ LV,vs. PHI,vs. PIT,@ DAL,BYE,@ MIN,vs. LAC,@ NYG,vs. HOU
JAC,@ WC,vs. IND,@ LAC,@ PHI,vs. HOU,@ IND,vs. NYG,vs. DEN,vs. LV,@ KC,BYE,vs. BAL,@ DET,@ TEN,vs. DAL,@ NYJ,@ HOU,vs. TEN
KC,@ ARI,vs. LAC,@ IND,@ TB,vs. LV,vs. BUF,@ SF,BYE,vs. TEN,vs. JAC,@ LAC,vs. LAR,@ CIN,@ DEN,@ HOU,vs. SEA,vs. DEN,@ LV
LAC,vs. LV,@ KC,vs. JAC,@ HOU,@ CLE,vs. DEN,vs. SEA,BYE,@ ATL,@ SF,vs. KC,@ ARI,@ LV,vs. MIA,vs. TEN,@ IND,vs. LAR,@ DEN
LAR,vs. BUF,vs. ATL,@ ARI,@ SF,vs. DAL,vs. CAR,BYE,vs. SF,@ TB,vs. ARI,@ NO,@ KC,vs. SEA,vs. LV,@ GB,vs. DEN,@ LAC,@ SEA
LV,@ LAC,vs. ARI,@ TEN,vs. DEN,@ KC,BYE,vs. HOU,@ NO,@ JAC,vs. IND,@ DEN,@ SEA,vs. LAC,@ LAR,vs. NE,@ PIT,vs. SF,vs. KC
MIA,vs. NE,@ BAL,vs. BUF,@ CIN,@ NYJ,vs. MIN,vs. PIT,@ DET,@ CHI,vs. CLE,BYE,vs. HOU,@ SF,@ LAC,@ BUF,vs. GB,@ NE,vs. NYJ
MIN,vs. GB,@ PHI,vs. DET,@ NO,vs. CHI,@ MIA,BYE,vs. ARI,@ WC,@ BUF,vs. DAL,vs. NE,vs. NYJ,@ DET,vs. IND,vs. NYG,@ GB,@ CHI
NE,@ MIA,@ PIT,vs. BAL,@ GB,vs. DET,@ CLE,vs. CHI,@ NYJ,vs. IND,BYE,vs. NYJ,@ MIN,vs. BUF,@ ARI,@ LV,vs. CIN,vs. MIA,@ BUF
NO,@ ATL,vs. TB,@ CAR,vs. MIN,vs. SEA,vs. CIN,@ ARI,vs. LV,vs. BAL,@ PIT,vs. LAR,@ SF,@ TB,BYE,vs. ATL,@ CLE,@ PHI,vs. CAR
NYG,@ TEN,vs. CAR,vs. DAL,vs. CHI,@ GB,vs. BAL,@ JAC,@ SEA,BYE,vs. HOU,vs. DET,@ DAL,vs. WC,vs. PHI,@ WC,@ MIN,vs. IND,@ PHI
NYJ,vs. BAL,@ CLE,vs. CIN,@ PIT,vs. MIA,@ GB,@ DEN,vs. NE,vs. BUF,BYE,@ NE,vs. CHI,@ MIN,@ BUF,vs. DET,vs. JAC,@ SEA,@ MIA
PHI,@ DET,vs. MIN,@ WC,vs. JAC,@ ARI,vs. DAL,BYE,vs. PIT,@ HOU,vs. WC,@ IND,vs. GB,vs. TEN,@ NYG,@ CHI,@ DAL,vs. NO,vs. NYG
PIT,@ CIN,vs. NE,@ CLE,vs. NYJ,@ BUF,vs. TB,@ MIA,@ PHI,BYE,vs. NO,vs. CIN,@ IND,@ ATL,vs. BAL,@ CAR,vs. LV,@ BAL,vs. CLE
SEA,vs. DEN,@ SF,vs. ATL,@ DET,@ NO,vs. ARI,@ LAC,vs. NYG,@ ARI,@ TB,BYE,vs. LV,@ LAR,vs. CAR,vs. SF,@ KC,vs. NYJ,vs. LAR
SF,@ CHI,vs. SEA,@ DEN,vs. LAR,@ CAR,@ ATL,vs. KC,@ LAR,BYE,vs. LAC,@ ARI,vs. NO,vs. MIA,vs. TB,@ SEA,vs. WC,@ LV,vs. ARI
TB,@ DAL,@ NO,vs. GB,vs. KC,vs. ATL,@ PIT,@ CAR,vs. BAL,vs. LAR,vs. SEA,BYE,@ CLE,vs. NO,@ SF,vs. CIN,@ ARI,vs. CAR,@ ATL
TEN,vs. NYG,@ BUF,vs. LV,@ IND,@ WC,BYE,vs. IND,@ HOU,@ KC,vs. DEN,@ GB,vs. CIN,@ PHI,vs. JAC,@ LAC,vs. HOU,vs. DAL,@ JAC
WC,vs. JAC,@ DET,vs. PHI,@ DAL,vs. TEN,@ CHI,vs. GB,@ IND,vs. MIN,@ PHI,@ HOU,vs. ATL,@ NYG,BYE,vs. NYG,@ SF,vs. CLE,vs. DAL